Real GDP growth (Annual percent change),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Luxembourg,8.4,2.5,3.8,1.6,3.6,3.2,5.2,8.4,-1.3,-4.4,4.9,2.5,-0.4,3.7,4.3,4.3,4.6,1.8,3.1,2.3,-5.8
Macao SAR,no data,no data,8.9,11.7,26.8,8.1,13.3,14.4,3.4,1.3,25.3,21.7,9.2,11.2,-1.2,-21.6,-0.7,9.9,5.4,-4.7,-52.3
Madagascar,4.5,6,-12.4,9.8,5.3,4.8,5.4,5.7,6.7,-4,0.6,1.6,3,2.3,3.3,3.1,4,3.9,4.6,4.8,-3.2
Malawi,0.8,-4.1,1.8,5.7,5.4,3.3,4.7,9.6,7.6,8.3,6.9,4.9,1.9,5.2,5.7,2.9,2.3,4,3.2,4.5,0.6
Malaysia,8.7,0.5,5.4,5.8,6.8,5,5.6,6.3,4.8,-1.5,7.5,5.3,5.5,4.7,6,5,4.4,5.8,4.8,4.3,-6
Maldives,4.8,3.5,6.1,25.4,6,-13.1,26.1,7.7,9.5,-7.2,7.3,8.6,2.5,7.3,7.3,2.9,6.3,6.8,6.9,5.7,-18.6
Mali,-0.1,15.4,3.1,9.1,1.6,6.5,4.7,3.5,4.8,4.8,5.3,2.7,-0.7,2.2,6.8,6.6,5.9,5,5.2,5.1,-2
Malta,-1,-1.2,2.6,4.1,0.1,3.4,2.5,4.8,3.8,-1.1,5.5,0.5,4.1,5.5,7.6,9.6,3.9,8,5.2,4.9,-7.9
Marshall Islands,1.4,6.8,3.7,-1.6,0.9,2.3,0.7,2.8,-6.8,1.4,7.6,-0.8,-2.4,3.7,-0.9,1.6,1.3,4.1,3.6,5.3,-4.5
Mauritania,-3.9,-0.8,1.4,6.9,4.7,8.6,18.3,-2,-0.3,0.1,2.6,4.2,4.5,4.2,4.3,5.4,1.3,3.5,2.1,5.9,-3.2
Mauritius,8.2,3.2,1.6,6,4.3,1.5,4.5,5.7,5.4,3.3,4.4,4.1,3.5,3.4,3.7,3.6,3.8,3.8,3.8,3,-14.2
Mexico,4.9,-0.4,0,1.4,3.9,2.3,4.5,2.3,1.1,-5.3,5.1,3.7,3.6,1.4,2.8,3.3,2.6,2.1,2.2,-0.3,-9
"Micronesia, Fed. States of",4.9,2.1,0.6,1.6,-3.1,2.1,-0.1,-1.9,-2.2,1,2.3,3.2,-1.9,-3.7,-2.3,4.6,0.9,2.7,0.2,1.2,-3.8
Moldova,2.1,6.1,7.8,6.6,7.4,7.5,4.8,3,7.8,-6,7.1,5.8,-0.6,9,5,-0.3,4.4,4.7,4,3.6,-4.5
Mongolia,1.1,4.6,5.3,7.4,9.4,6.5,8.2,8.8,7.8,-2.1,7.3,17.3,12.3,11.6,7.9,2.4,1.2,5.3,7.2,5.1,-2
Montenegro,no data,1.1,1.9,2.5,4.4,4.2,8.6,6.8,7.2,-5.8,2.7,3.2,-2.7,3.5,1.8,3.4,2.9,4.7,5.1,3.6,-12
Morocco,1.9,7.3,3.1,6,4.8,3.3,7.6,3.5,5.9,4.2,3.8,5.2,3,4.5,2.7,4.5,1,4.2,3,2.2,-7
Mozambique,1.2,12.1,9.3,6.9,7.9,6.6,9.7,7.7,7.3,6.3,6.5,7.4,7.3,7,7.4,6.7,3.8,3.7,3.4,2.3,-0.5
Myanmar,12.4,12.5,9.9,13.2,15.3,13.6,13.3,12.5,7.6,4.4,5.2,5.5,6.5,7.9,8.2,7.5,6.4,5.8,6.4,6.5,2
Namibia,3.5,2.4,6.7,3.5,6.6,4.7,3.9,3.6,2.6,0.3,6,5.1,5.1,5.6,5.8,4.5,-0.3,-0.3,0.7,-1,-5.9
